54.4131 	EXP 	fixation: autoDraw = False
54.4131 	EXP 	grating: autoDraw = True
54.7142 	EXP 	grating: autoDraw = False
55.1022 	EXP 	New trial (rep=17, index=0): None
55.1055 	DATA 	Keypress: down
55.1145 	EXP 	fixation: autoDraw = False
55.1145 	EXP 	grating: autoDraw = False
55.1145 	EXP 	grating: ori = 0.0
55.1145 	EXP 	fixation: autoDraw = True
56.1007 	EXP 	grating: autoDraw = True
56.1175 	EXP 	fixation: autoDraw = False
56.4020 	EXP 	grating: autoDraw = False
56.7218 	EXP 	New trial (rep=18, index=0): None
56.7247 	DATA 	Keypress: up
56.7358 	EXP 	fixation: autoDraw = False
56.7358 	EXP 	grating: autoDraw = False
56.7358 	EXP 	grating: ori = 1.0
56.7358 	EXP 	fixation: autoDraw = True
57.7222 	EXP 	grating: autoDraw = True
57.7384 	EXP 	fixation: autoDraw = False
58.0230 	EXP 	grating: autoDraw = False
58.4460 	EXP 	New trial (rep=19, index=0): None
58.4496 	DATA 	Keypress: up
58.4573 	EXP 	fixation: autoDraw = False
58.4573 	EXP 	grating: autoDraw = False
58.4573 	EXP 	grating: ori = 2.0
58.4573 	EXP 	fixation: autoDraw = True
59.4597 	EXP 	fixation: autoDraw = False
59.4597 	EXP 	grating: autoDraw = True
59.7611 	EXP 	grating: autoDraw = False
60.2984 	EXP 	New trial (rep=20, index=0): None
60.3010 	DATA 	Keypress: down
60.3124 	EXP 	fixation: autoDraw = False
60.3124 	EXP 	grating: autoDraw = False
60.3124 	EXP 	grating: ori = 3.0
60.3124 	EXP 	fixation: autoDraw = True
61.2978 	EXP 	grating: autoDraw = True
61.3150 	EXP 	fixation: autoDraw = False
61.5991 	EXP 	grating: autoDraw = False
61.9558 	EXP 	New trial (rep=21, index=0): None
61.9598 	DATA 	Keypress: down
61.9662 	EXP 	fixation: autoDraw = False
61.9662 	EXP 	grating: autoDraw = False
61.9662 	EXP 	grating: ori = -3.0
61.9662 	EXP 	fixation: autoDraw = True
62.9694 	EXP 	fixation: autoDraw = False
62.9694 	EXP 	grating: autoDraw = True
63.2702 	EXP 	grating: autoDraw = False
63.7744 	EXP 	New trial (rep=22, index=0): None
63.7770 	DATA 	Keypress: down
63.7881 	EXP 	fixation: autoDraw = False
63.7881 	EXP 	grating: autoDraw = False
63.7881 	EXP 	grating: ori = 0.0
63.7881 	EXP 	fixation: autoDraw = True
64.7751 	EXP 	grating: autoDraw = True
64.7913 	EXP 	fixation: autoDraw = False
65.0751 	EXP 	grating: autoDraw = False
65.7311 	EXP 	New trial (rep=23, index=0): None
65.7338 	DATA 	Keypress: down
65.7431 	EXP 	fixation: autoDraw = False
65.7431 	EXP 	grating: autoDraw = False
65.7431 	EXP 	grating: ori = 0.0
65.7431 	EXP 	fixation: autoDraw = True
66.7295 	EXP 	grating: autoDraw = True
66.7464 	EXP 	fixation: autoDraw = False
67.0303 	EXP 	grating: autoDraw = False
67.5198 	EXP 	New trial (rep=24, index=0): None
67.5227 	DATA 	Keypress: down
67.5311 	EXP 	fixation: autoDraw = False
67.5311 	EXP 	grating: autoDraw = False
67.5311 	EXP 	grating: ori = 0.0
67.5311 	EXP 	fixation: autoDraw = True
68.5345 	EXP 	fixation: autoDraw = False
68.5345 	EXP 	grating: autoDraw = True
68.8352 	EXP 	grating: autoDraw = False
69.2066 	EXP 	New trial (rep=25, index=0): None
69.2092 	DATA 	Keypress: up
69.2192 	EXP 	fixation: autoDraw = False
69.2192 	EXP 	grating: autoDraw = False
69.2192 	EXP 	grating: ori = 1.0
69.2192 	EXP 	fixation: autoDraw = True
70.2053 	EXP 	grating: autoDraw = True
70.2214 	EXP 	fixation: autoDraw = False
70.5057 	EXP 	grating: autoDraw = False
70.9939 	EXP 	New trial (rep=26, index=0): None
70.9965 	DATA 	Keypress: down
71.0073 	EXP 	fixation: autoDraw = False
71.0073 	EXP 	grating: autoDraw = False
71.0073 	EXP 	grating: ori = 3.0
71.0073 	EXP 	fixation: autoDraw = True
71.9931 	EXP 	grating: autoDraw = True
72.0097 	EXP 	fixation: autoDraw = False
72.3272 	EXP 	grating: autoDraw = False
72.8240 	EXP 	New trial (rep=27, index=0): None
72.8510 	DATA 	Keypress: down
72.8619 	EXP 	fixation: autoDraw = False
72.8619 	EXP 	grating: autoDraw = False
72.8619 	EXP 	grating: ori = 0.0
72.8619 	EXP 	fixation: autoDraw = True
73.8314 	EXP 	grating: autoDraw = True
73.8646 	EXP 	fixation: autoDraw = False
74.1321 	EXP 	grating: autoDraw = False
74.5197 	EXP 	New trial (rep=28, index=0): None
74.5223 	DATA 	Keypress: down
74.5330 	EXP 	fixation: autoDraw = False
74.5330 	EXP 	grating: autoDraw = False
74.5330 	EXP 	grating: ori = 0.0
